Measure,MeasureType,Year,Ethnicity,GeoArea,AgeGroup,VariableName,Variable,Value,LowerCI,UpperCI,QualityInd
4.4 Acute bed days,Count,2018,Māori,Unknown,Total,people,Respiratory Infections and Inflammations,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Unknown,Total,bed_days,Respiratory Infections and Inflammations,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Unknown,Total,events,Respiratory Infections and Inflammations,s,s,s,NA
4.4 Acute bed days,Count,2019,Māori,Unknown,Total,events,Respiratory Infections and Inflammations,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Unknown,Total,people,Respiratory Infections and Inflammations,s,s,s,NA
4.4 Acute bed days,Count,2019,Māori,Unknown,Total,people,Respiratory Infections and Inflammations,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Unknown,Total,bed_days,Chronic Obstructive Airways Disease,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Unknown,Total,events,Chronic Obstructive Airways Disease,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Unknown,Total,people,Chronic Obstructive Airways Disease,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Unknown,Total,bed_days,Major Small and Large Bowel Interventions,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Unknown,Total,events,Major Small and Large Bowel Interventions,s,s,s,NA
4.4 Acute bed days,Count,2021,Māori,Unknown,Total,events,Major Small and Large Bowel Interventions,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Unknown,Total,people,Major Small and Large Bowel Interventions,s,s,s,NA
4.4 Acute bed days,Count,2021,Māori,Unknown,Total,people,Major Small and Large Bowel Interventions,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2022,Māori,Unknown,Total,bed_days,"Interventional Coronary Procedures, Admitted for AMI",s,s,s,NA
4.4 Acute bed days,Count,2022,Māori,Unknown,Total,bed_days,"Interventional Coronary Procedures, Admitted for AMI",s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2022,Māori,Unknown,Total,events,"Interventional Coronary Procedures, Admitted for AMI",s,s,s,NA
4.4 Acute bed days,Count,2022,Māori,Unknown,Total,events,"Interventional Coronary Procedures, Admitted for AMI",s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2022,Māori,Unknown,Total,people,"Interventional Coronary Procedures, Admitted for AMI",s,s,s,NA
4.4 Acute bed days,Count,2022,Māori,Unknown,Total,people,"Interventional Coronary Procedures, Admitted for AMI",s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Unknown,Total,bed_days,Otitis Media and Upper Respiratory Infections,s,s,s,NA
4.4 Acute bed days,Count,2023,Māori,Unknown,Total,bed_days,Otitis Media and Upper Respiratory Infections,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Unknown,Total,events,Otitis Media and Upper Respiratory Infections,s,s,s,NA
4.4 Acute bed days,Count,2023,Māori,Unknown,Total,events,Otitis Media and Upper Respiratory Infections,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Unknown,Total,people,Otitis Media and Upper Respiratory Infections,s,s,s,NA
4.4 Acute bed days,Count,2023,Māori,Unknown,Total,people,Otitis Media and Upper Respiratory Infections,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Other Factors Influencing Health Status,378.3,265.4,523,NA
4.4 Acute bed days,Crude rate,2018,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Other Factors Influencing Health Status,378.3,265.4,523,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Te Mātuku,Total,bed_days,Schizophrenia Disorders,317,287.9,348,NA
4.4 Acute bed days,Crude rate,2020,Māori,Te Mātuku,Total,bed_days,Schizophrenia Disorders,279.6,287.9,348,NA
4.4 Acute bed days,Age-standardised rate,2022,Māori,Te Taura Ora o Waiariki,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,278.9,227.8,338,NA
4.4 Acute bed days,Crude rate,2022,Māori,Te Taura Ora o Waiariki,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,278.9,227.8,338,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Te Mātuku,Total,bed_days,Major Affective Disorders,242.9,213.7,274.9,NA
4.4 Acute bed days,Crude rate,2023,Māori,Te Mātuku,Total,bed_days,Major Affective Disorders,242.9,213.7,274.9,NA
4.4 Acute bed days,Age-standardised rate,2022,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,232.5,126.2,392.1,NA
4.4 Acute bed days,Crude rate,2022,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,232.5,126.2,392.1,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Te Pae Oranga o Ruahine o Tararua,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,167.5,151.2,185.1,NA
4.4 Acute bed days,Crude rate,2020,Māori,Te Pae Oranga o Ruahine o Tararua,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,180.5,151.2,185.1,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Tracheostomy,147.8,114.6,187.8,NA
4.4 Acute bed days,Crude rate,2020,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Tracheostomy,147.8,114.6,187.8,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Unknown,Total,bed_days,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Count,2018,Māori,Unknown,Total,bed_days,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Unknown,Total,events,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Count,2018,Māori,Unknown,Total,events,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Unknown,Total,people,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Count,2018,Māori,Unknown,Total,people,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Unknown,Total,bed_days,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Count,2019,Māori,Unknown,Total,bed_days,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Unknown,Total,events,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Count,2019,Māori,Unknown,Total,events,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Unknown,Total,people,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Count,2019,Māori,Unknown,Total,people,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Unknown,Total,bed_days,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Count,2020,Māori,Unknown,Total,bed_days,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Unknown,Total,events,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Count,2020,Māori,Unknown,Total,events,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Unknown,Total,people,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Count,2020,Māori,Unknown,Total,people,Other Respiratory System Disorders,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Unknown,Total,bed_days,Abdominal Pain and Mesenteric Adenitis,s,s,s,NA
4.4 Acute bed days,Count,2021,Māori,Unknown,Total,bed_days,Abdominal Pain and Mesenteric Adenitis,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Unknown,Total,events,Abdominal Pain and Mesenteric Adenitis,s,s,s,NA
4.4 Acute bed days,Count,2021,Māori,Unknown,Total,events,Abdominal Pain and Mesenteric Adenitis,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Unknown,Total,people,Abdominal Pain and Mesenteric Adenitis,s,s,s,NA
4.4 Acute bed days,Count,2021,Māori,Unknown,Total,people,Abdominal Pain and Mesenteric Adenitis,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Unknown,Total,bed_days,Appendicectomy,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Unknown,Total,events,Appendicectomy,s,s,s,NA
4.4 Acute bed days,Count,2023,Māori,Unknown,Total,events,Appendicectomy,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Unknown,Total,people,Appendicectomy,s,s,s,NA
4.4 Acute bed days,Count,2023,Māori,Unknown,Total,people,Appendicectomy,s,s,s,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Tūwharetoa,Total,bed_days,Stroke and Other Cerebrovascular Disorders,212.5,194.2,231.9,NA
4.4 Acute bed days,Crude rate,2021,Māori,Tūwharetoa,Total,bed_days,Stroke and Other Cerebrovascular Disorders,234.6,194.2,231.9,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Major Affective Disorders,240.3,210.6,273,NA
4.4 Acute bed days,Crude rate,2018,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Major Affective Disorders,227.8,210.6,273,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Te Tiratū,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,219.2,190.7,250.9,NA
4.4 Acute bed days,Crude rate,2019,Māori,Te Tiratū,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,219.2,190.7,250.9,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Tūwharetoa,Total,bed_days,Fractures of Pelvis,211.5,117.8,349.9,NA
4.4 Acute bed days,Crude rate,2018,Māori,Tūwharetoa,Total,bed_days,Fractures of Pelvis,211.5,117.8,349.9,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Te Pae Oranga o Ruahine o Tararua,Total,bed_days,Hip Replacement for Trauma,201.1,152.6,260.1,NA
4.4 Acute bed days,Crude rate,2019,Māori,Te Pae Oranga o Ruahine o Tararua,Total,bed_days,Hip Replacement for Trauma,201.5,152.6,260.1,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Tracheostomy,181.5,146.8,222.1,NA
4.4 Acute bed days,Crude rate,2018,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Tracheostomy,181.5,146.8,222.1,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Other Hip and Femur Interventions,139.3,104.9,180.7,NA
4.4 Acute bed days,Crude rate,2019,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Other Hip and Femur Interventions,147.8,104.9,180.7,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Te Taura Ora o Waiariki,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,121.1,104.6,139.4,NA
4.4 Acute bed days,Crude rate,2021,Māori,Te Taura Ora o Waiariki,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,141.5,104.6,139.4,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Te Mātuku,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,127.8,106.9,151.5,NA
4.4 Acute bed days,Crude rate,2021,Māori,Te Mātuku,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,136.5,106.9,151.5,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Te Punanga Ora,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,121.3,99,147.1,NA
4.4 Acute bed days,Crude rate,2023,Māori,Te Punanga Ora,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,127,99,147.1,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Other Hip and Femur Interventions,125.4,61.8,226.4,NA
4.4 Acute bed days,Crude rate,2019,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Other Hip and Femur Interventions,125.4,61.8,226.4,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Tūwharetoa,Total,bed_days,Tracheostomy,122.6,94.9,155.9,NA
4.4 Acute bed days,Crude rate,2020,Māori,Tūwharetoa,Total,bed_days,Tracheostomy,122.6,94.9,155.9,NA
4.4 Acute bed days,Age-standardised rate,2022,Māori,Tūwharetoa,Total,bed_days,Hip Replacement for Trauma,123.3,93,160.1,NA
4.4 Acute bed days,Crude rate,2022,Māori,Tūwharetoa,Total,bed_days,Hip Replacement for Trauma,121.3,93,160.1,NA
4.4 Acute bed days,Age-standardised rate,2022,Māori,Te Punanga Ora,Total,bed_days,Schizophrenia Disorders,77.4,69.8,85.7,NA
4.4 Acute bed days,Crude rate,2022,Māori,Te Punanga Ora,Total,bed_days,Schizophrenia Disorders,118.7,69.8,85.7,NA
4.4 Acute bed days,Age-standardised rate,2022,Māori,Te Mātuku,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,116,95.2,139.9,NA
4.4 Acute bed days,Crude rate,2022,Māori,Te Mātuku,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,115.5,95.2,139.9,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Te Tauraki,Total,bed_days,Newborn (premature),113.4,106.8,120.2,NA
4.4 Acute bed days,Crude rate,2019,Māori,Te Tauraki,Total,bed_days,Newborn (premature),113.4,106.8,120.2,NA
4.4 Acute bed days,Age-standardised rate,2022,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Other Kidney and Urinary Tract Disorders,71.5,59.4,85.6,NA
4.4 Acute bed days,Crude rate,2022,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Other Kidney and Urinary Tract Disorders,112.5,59.4,85.6,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Hip Replacement for Trauma,105,73.1,146.3,NA
4.4 Acute bed days,Crude rate,2021,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Hip Replacement for Trauma,108.1,73.1,146.3,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Te Tauraki,Total,bed_days,Newborn (premature),104.8,98.5,111.4,NA
4.4 Acute bed days,Crude rate,2018,Māori,Te Tauraki,Total,bed_days,Newborn (premature),104.8,98.5,111.4,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Tūwharetoa,Total,bed_days,Stroke and Other Cerebrovascular Disorders,90.4,79.1,102.8,NA
4.4 Acute bed days,Crude rate,2019,Māori,Tūwharetoa,Total,bed_days,Stroke and Other Cerebrovascular Disorders,98.9,79.1,102.8,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Te Punanga Ora,Total,bed_days,Newborn (premature),97.6,85.4,111,NA
4.4 Acute bed days,Crude rate,2020,Māori,Te Punanga Ora,Total,bed_days,Newborn (premature),97.6,85.4,111,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Tūwharetoa,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,65.5,52.1,81.2,NA
4.4 Acute bed days,Crude rate,2023,Māori,Tūwharetoa,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,95.8,52.1,81.2,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Tairāwhiti Toitū Te Ora,Total,bed_days,Other Follow Up After Surgery or Medical Care,73.7,67.8,80,NA
4.4 Acute bed days,Crude rate,2018,Māori,Tairāwhiti Toitū Te Ora,Total,bed_days,Other Follow Up After Surgery or Medical Care,91.9,67.8,80,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Te Punanga Ora,Total,bed_days,Hip Replacement for Trauma,91.7,66.1,123.5,NA
4.4 Acute bed days,Crude rate,2019,Māori,Te Punanga Ora,Total,bed_days,Hip Replacement for Trauma,91.4,66.1,123.5,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Te Taura Ora o Waiariki,Total,bed_days,Stroke and Other Cerebrovascular Disorders,64.1,59.6,68.8,NA
4.4 Acute bed days,Crude rate,2020,Māori,Te Taura Ora o Waiariki,Total,bed_days,Stroke and Other Cerebrovascular Disorders,91.4,59.6,68.8,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Te Pae Oranga o Ruahine o Tararua,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,84.3,73.5,96.2,NA
4.4 Acute bed days,Crude rate,2023,Māori,Te Pae Oranga o Ruahine o Tararua,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,91.3,73.5,96.2,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Other Hip and Femur Interventions,43.2,34.8,53.1,NA
4.4 Acute bed days,Crude rate,2020,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Other Hip and Femur Interventions,90.3,34.8,53.1,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Te Tiratū,Total,bed_days,Newborn (premature),88.7,83,94.8,NA
4.4 Acute bed days,Crude rate,2020,Māori,Te Tiratū,Total,bed_days,Newborn (premature),88.7,83,94.8,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Te Tauraki,Total,bed_days,Newborn (premature),86.2,80.5,92.3,NA
4.4 Acute bed days,Crude rate,2020,Māori,Te Tauraki,Total,bed_days,Newborn (premature),86.2,80.5,92.3,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Stroke and Other Cerebrovascular Disorders,93.7,76.4,113.5,NA
4.4 Acute bed days,Crude rate,2023,Māori,Te Karu o te Ika Poari Hauora,Total,bed_days,Stroke and Other Cerebrovascular Disorders,83.6,76.4,113.5,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Te Pae Oranga o Ruahine o Tararua,Total,bed_days,Newborn (premature),82.4,73.8,91.7,NA
4.4 Acute bed days,Crude rate,2018,Māori,Te Pae Oranga o Ruahine o Tararua,Total,bed_days,Newborn (premature),82.4,73.8,91.7,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Te Mātuku,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,82.2,62,106.7,NA
4.4 Acute bed days,Crude rate,2018,Māori,Te Mātuku,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,79.4,62,106.7,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Tihei Takitimu,Total,bed_days,Newborn (premature),76.5,68.8,84.8,NA
4.4 Acute bed days,Crude rate,2019,Māori,Tihei Takitimu,Total,bed_days,Newborn (premature),76.5,68.8,84.8,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Tihei Takitimu,Total,bed_days,Newborn (premature),74.2,66.6,82.5,NA
4.4 Acute bed days,Crude rate,2020,Māori,Tihei Takitimu,Total,bed_days,Newborn (premature),74.2,66.6,82.5,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Te Taura Ora o Waiariki,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,41.2,37.5,45.2,NA
4.4 Acute bed days,Crude rate,2023,Māori,Te Taura Ora o Waiariki,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,73.4,37.5,45.2,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Tihei Takitimu,Total,bed_days,Newborn (premature),71.3,64,79.2,NA
4.4 Acute bed days,Crude rate,2018,Māori,Tihei Takitimu,Total,bed_days,Newborn (premature),71.3,64,79.2,NA
4.4 Acute bed days,Age-standardised rate,2023,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,70.3,36.6,122.3,NA
4.4 Acute bed days,Crude rate,2023,Māori,Te Kahui Hauora o Te Tau Ihu,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,69.8,36.6,122.3,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Te Tiratū,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,67.2,62,72.7,NA
4.4 Acute bed days,Crude rate,2018,Māori,Te Tiratū,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,66.1,62,72.7,NA
4.4 Acute bed days,Age-standardised rate,2021,Māori,Te Punanga Ora,Total,bed_days,Tracheostomy,75.2,69.1,81.6,NA
4.4 Acute bed days,Crude rate,2021,Māori,Te Punanga Ora,Total,bed_days,Tracheostomy,65.9,69.1,81.6,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Te Punanga Ora,Total,bed_days,Tracheostomy,52.3,44.5,61.1,NA
4.4 Acute bed days,Crude rate,2018,Māori,Te Punanga Ora,Total,bed_days,Tracheostomy,65.8,44.5,61.1,NA
4.4 Acute bed days,Age-standardised rate,2018,Māori,Te Moana a Toi,Total,bed_days,Newborn (requiring medical attention),63.5,57.2,70.3,NA
4.4 Acute bed days,Crude rate,2018,Māori,Te Moana a Toi,Total,bed_days,Newborn (requiring medical attention),63.5,57.2,70.3,NA
4.4 Acute bed days,Age-standardised rate,2019,Māori,Tairāwhiti Toitū Te Ora,Total,bed_days,Schizophrenia Disorders,66,56.4,76.7,NA
4.4 Acute bed days,Crude rate,2019,Māori,Tairāwhiti Toitū Te Ora,Total,bed_days,Schizophrenia Disorders,61.7,56.4,76.7,NA
4.4 Acute bed days,Age-standardised rate,2020,Māori,Te Moana a Toi,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,39.9,35.4,44.9,NA
4.4 Acute bed days,Crude rate,2020,Māori,Te Moana a Toi,Total,bed_days,Dementia and Other Chronic Disturbances of Cerebral Function,61.6,35.4,44.9,NA
